SRC_AREA     SRC_NWSE     TARGET_ARE   ENTRY_NAME   TRV_TIME     DEF_ENTRY    ENC1         ENC2         ENC3         ENC4         ENC5         ENC_PROB
BG0100       E            BG0200       Ext0200w     0            1            N            N            N            N            N            5
BG0100       S            BG0600       Ext0600n     0            1            N            N            N            N            N            5
BG0200       E            BG0300       Ext0300w     0            1            N            N            N            N            N            5
BG0200       S            BG0700       Ext0700n     0            1            N            N            N            N            N            5
BG0200       W            BG0100       Ext0100e     0            1            N            N            N            N            N            5
BG0300       S            BG0800       Ext0800n     0            1            N            N            N            N            N            5
BG0300       W            BG0200       Ext0200e     0            1            N            N            N            N            N            5
BG0600       N            BG0100       Ext0100s     0            1            N            N            N            N            N            5
BG0600       E            BG0700       Ext0700w     0            1            N            N            N            N            N            5
BG0600       S            BG1100       Ext1100n     0            1            N            N            N            N            N            5
BG0700       N            BG0200       Ext0200s     0            1            N            N            N            N            N            5
BG0700       E            BG0800       Ext0800w     0            1            N            N            N            N            N            5
BG0700       S            BG1200       Ext1200n     0            1            N            N            N            N            N            5
BG0700       W            BG0600       Ext0600e     0            1            N            N            N            N            N            5
BG0800       N            BG0300       Ext0300s     0            1            N            N            N            N            N            5
BG0800       E            BG0900       Exit0800     0            8            N            N            N            N            N            5
BG0800       S            BG1300       Ext1300n     0            1            N            N            N            N            N            5
BG0800       W            BG0700       Ext0700e     0            1            N            N            N            N            N            5
BG1100       N            BG0600       Ext0600s     0            1            N            N            N            N            N            5
BG1100       E            BG1200       Ext1200w     0            1            N            N            N            N            N            5
BG1200       N            BG0700       Ext0700s     0            1            N            N            N            N            N            5
BG1200       E            BG1300       Ext1300w     0            1            N            N            N            N            N            5
BG1200       W            BG1100       Ext1100e     0            1            N            N            N            N            N            5
BG1300       N            BG0800       Ext0800s     0            1            N            N            N            N            N            5
BG1300       W            BG1200       Ext1200e     0            1            N            N            N            N            N            5
BG1600       N            BG1700       N            4            8            BG6001       N            N            N            N            50
BG1600       E            BG1700       N            4            8            BG6001       N            N            N            N            50
BG1600       S            BG2100       N            5            1            BG6001       N            N            N            N            50
BG2100       N            BG1600       N            5            4            BG6001       N            N            N            N            40
BG2100       E            BG2200       N            4            8            BG6000       N            N            N            N            20
BG2100       W            BG1600       N            5            4            BG6000       N            N            N            N            40
BG1700       N            BG1800       N            1            8            BG6001       N            N            N            N            30
BG1700       E            BG1800       N            1            8            BG6001       N            N            N            N            30
BG1700       S            BG1800       N            1            8            BG6001       N            N            N            N            30
BG1700       W            BG1600       N            4            2            BG6001       N            N            N            N            20
BG1800       W            BG1700       N            1            2            BG6001       N            N            N            N            50
BG2200       N            BG2100       Exit2200     4            2            BG6000       N            N            N            N            50
BG2200       E            BG2800       Exit2700     4            8            BG6000       N            N            N            N            20
BG2200       E            BG2300       Exit2800     3            4            BG6000       N            N            N            N            20
BG2200       S            BG2100       Exit2200     4            2            BG6000       N            N            N            N            50
BG2200       W            BG2100       Exit2200     3            2            BG6000       N            N            N            N            25
BG0400       S            BG0900       Exit0400     2            1            N            N            N            N            N            0
BG0900       N            BG0400       CDSouthExit  2            4            N            N            N            N            N            0
BG0900       N            BG1000       Exit1400     4            2            N            N            N            N            N            5
BG0900       S            BG1400       Exit0900     1            1            BG6100       BG6100       N            N            N            20
BG0900       W            BG0800       Ext0800e     0            2            N            N            N            N            N            5
BG1400       N            BG0900       Exit1400     1            4            BG6100       N            N            N            N            5
BG1400       N            BG1900       N            1            8            N            N            N            N            N            5
BG1400       E            BG2400       N            4            8            BG6000       BG5900       N            N            N            20
BG1400       E            BG1900       N            2            8            BG6001       N            N            N            BG6001       20
